Book_name,Author_name,Duration
Secret Sister,By: Sarah A. Denzil,Length: 8 hrs and 48 mins
The Editor,By: Riano McFarland,Length: 5 hrs and 55 mins
Wildest Dreams,By: L.J. Shen,Length: 12 hrs and 36 mins
Sugarland,By: Tom Fontana,Length: 4 hrs and 6 mins
Herald of Shalia 5,By: Tamryn Tamer,Length: 17 hrs and 59 mins
En el amor y en la guerra,By: Ildefonso Falcones,Length: 29 hrs and 15 mins
Sacred Science,By: William H. West MD,Length: 11 hrs and 5 mins
The Building 402 Collection,By: Alexandra Warren,Length: 12 hrs and 24 mins
Love Bites,By: Lola Glass,Length: 5 hrs and 51 mins
The False Hero: Volume 9,By: Michael Plymel,Length: 11 hrs and 2 mins
The Art of Words,By: Natasha Cox,Length: 5 hrs and 6 mins
"A Death, A Duke, and Miss Mifford",By: Claudia Stone,Length: 6 hrs and 10 mins
"The Witches of Scotland: The Edinburgh Files, Book 3",By: Steven P Aitchison,Length: 7 hrs and 28 mins
The Business Trip,By: Jessie Garcia,Length: 9 hrs and 7 mins
"Warlock, Book Two",By: Daniel Kensington,Length: 13 hrs and 12 mins
Dragon Day,By: Bob Proehl,Length: 6 hrs and 29 mins
Careless People,By: Sarah Wynn-Williams,Length: 13 hrs and 16 mins
The Black Wolf,By: Louise Penny,Length: 12 hrs and 51 mins
The Gate of the Feral Gods,By: Matt Dinniman,Length: 18 hrs and 3 mins
LLC & Taxes Explained for Beginners,By: Pantheon Space Academy,Length: 3 hrs and 34 mins
Becoming HER,By: Monica Yates,Length: 7 hrs and 24 mins
The End of the World as We Know It,"By: Christopher Golden - contributor, Brian Keene - contributor, Stephen King - introduction",Length: 26 hrs and 30 mins
Let Them,By: Melinda Brown,Length: 2 hrs and 6 mins
Return to Demeter,By: Alan 'Doc' Hansen,Length: 6 hrs and 19 mins
Wild and Wrangled,By: Lyla Sage,Length: 9 hrs and 26 mins
Throne of Glass (Dramatized Adaptation),By: Sarah J. Maas,Length: 11 hrs
Dark Seduction - The Psychology of Irresistible Attraction,By: Jason Malone,Length: 3 hrs and 27 mins
Shadow of the Solstice,By: Anne Hillerman,Length: 9 hrs and 40 mins
The Patricia Fisher Mysteries: All Ten Books,By: Steve Higgs,Length: 52 hrs and 7 mins
Mitchell’s Untamed Mate,By: S.E. Smith,Length: 7 hrs and 40 mins
"Love, Rebooted",By: Katy Summers,Length: 9 hrs and 41 mins
Fated to the Beta,By: Jessica Hall,Length: 13 hrs and 51 mins
C. S. Lewis. Collection of Religious Works,By: C. S. Lewis,Length: 20 hrs and 11 mins
The Haunting of Cravenhill Manor,By: Vincent Valentean,Length: 9 hrs and 32 mins
In Good Company,By: Kat Singleton,Length: 9 hrs and 58 mins
My Friend Norm,By: Fred Stoller,Length: 1 hr and 8 mins
Your Heart Knows How to Heal You,By: Cissi Williams,Length: 12 hrs and 37 mins
Undeniably Enemies,By: J. Saman,Length: 10 hrs and 39 mins
Raised by Emotionally Immature Parents,By: Krista Cantell,Length: 5 hrs and 17 mins
The Complete Friedrich Nietzsche Philosophy Collection,By: Friedrich Nietzsche,Length: 106 hrs
Fight,By: Sloane St. James,Length: 9 hrs and 50 mins
Sons of Valor IV: False Flag,"By: Brian Andrews, Jeffrey Wilson",Length: 11 hrs and 30 mins
The Devouring Tide,By: WillPowah,Length: 11 hrs and 14 mins
"Mushoku Tensei: Redundant Reincarnation, Vol. 2",By: Rifujin na Magonote,Length: 7 hrs and 42 mins
My Silver Lining,By: Laura Pavlov,Length: 8 hrs and 36 mins
An Education in Magical Affairs: An Isekai LitRPG,By: SourpatchHero,Length: 16 hrs
The Things We Leave Unfinished,By: Rebecca Yarros,Length: 14 hrs and 32 mins
Rhett,By: Riley Hart,Length: 7 hrs and 12 mins
Amber the Cursed Berserker: Book 1,"By: V.A. Lewis, Azrie",Length: 17 hrs and 39 mins
The Adventures of the Infallible Godahl,By: Frederick Irving Anderson,Length: 5 hrs
All the Skills 5: A Deck-Building LitRPG,By: Honour Rae,Length: 11 hrs and 12 mins
The Crash,By: Freida McFadden,Length: 9 hrs and 13 mins
The Weirdies: Maybe This Is a Bit Too Weird,By: Michael Buckley,Length: 2 hrs and 10 mins
Mark Twain,By: Ron Chernow,Length: 48 hrs
Start Menu 2: Continue Game,By: Kos Play,Length: 17 hrs and 14 mins
The Wild Wolf's Rejected Mate,By: Cate C. Wells,Length: 10 hrs and 19 mins
The Lost Reclaimed,By: Tom Elliot,Length: 22 hrs and 6 mins
Flag Day,"By: Michael Harbut, Michael Anderson",Length: 2 mins
Inner Voice,By: Aine McCuin,Length: 57 mins
The Journal of a Thousand Years,By: C.J. Archer,Length: 8 hrs and 21 mins
Garden of Sanctuary,By: pirateaba,Length: 31 hrs and 13 mins
The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
The Monk,By: Matthew Gregory Lewis,Length: 15 hrs and 24 mins
Crimson Reversal,By: Lincoln Williamson,Length: 12 hrs and 53 mins
Why Won't You Sleep?!,"By: Macall Gordon, Kim West",Length: 9 hrs and 22 mins
The Quick Solution ADHD Gut Fix for Women Over 40,By: Marusya Wellness Publishing,Length: 4 hrs and 7 mins
Protocols,By: Andrew D. Huberman Ph.D.,Length: 11 hrs
Free Yourself from the Grip of Alcohol Addiction,By: Yvonne L.M. Cross,Length: 3 hrs and 48 mins
Target Twelve,By: Jack Mars,Length: 5 hrs and 7 mins
Master Your Mind,By: Evelyn Hayes,Length: 10 hrs and 4 mins
For Whom the Belle Tolls,By: Jaysea Lynn,Length: 23 hrs and 38 mins
The Art of Stage Dancing,By: Ned Wayburn,Length: 12 hrs and 9 mins
Walk a Mile,By: Lynda Harlos,Length: 5 hrs and 59 mins
A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
Once Upon a Crime,By: Brynn Kelly,Length: 10 hrs and 50 mins
Ashes Fall,By: Deacon Frost,Length: 10 hrs and 37 mins
"Attending Online Class, but the Boyfriend Forgot to Turn Off Mic",By: Debbie Meshew,Length: 1 hr
Solfeggio Frequencies,By: G.H. Upton,Length: 25 hrs and 24 mins
The Whitlock Family Series Boxset,By: Corinne Michaels,Length: 37 hrs and 57 mins
Six Days in Bombay,By: Alka Joshi,Length: 12 hrs and 24 mins
This Inevitable Ruin,By: Matt Dinniman,Length: 28 hrs and 40 mins
"High Times, Hard Lessons",By: Zack Mozes,Length: 4 hrs and 39 mins
Demon Lord Academy 4,By: Shane Hammond,Length: 8 hrs and 37 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
Story of My Life,By: Lucy Score,Length: 16 hrs and 10 mins
Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
The Next Day,By: Melinda French Gates,Length: 3 hrs and 44 mins
In a Rush,By: Kate Canterbary,Length: 14 hrs and 19 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
You Killed Me First,By: John Marrs,Length: 9 hrs and 44 mins
Fearless (Spanish Edition),"By: Lauren Roberts, Cristina Macía Orio",Length: 17 hrs and 52 mins
House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
Battle Mountain,By: C.J. Box,Length: 10 hrs and 2 mins
Rhythm of War,By: Brandon Sanderson,Length: 57 hrs and 26 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
2 Sisters Murder Investigations,"By: James Patterson, Candice Fox",Length: 7 hrs and 21 mins
Take Control of Your Life,By: Mel Robbins,Length: 10 hrs and 3 mins
The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
Consolations II,By: David Whyte,Length: 7 hrs and 38 mins
Study Guide for Little Women by Louisa May Alcott,By: Louisa Alcott,Length: 21 hrs and 49 mins
The Ultimate Backyard Homesteading Guide for Beginners,By: City Garden Press,Length: 3 hrs and 23 mins
The Inheritance,By: C.J. Petit,Length: 14 hrs and 3 mins
Bitten Shifter,By: Brogan Thomas,Length: 8 hrs and 52 mins
The Ashes and the Star-Cursed King,By: Carissa Broadbent,Length: 19 hrs and 27 mins
Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 7 hrs and 52 mins
"Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
A oscuras [Lights Out],"By: Navessa Allen, Xavier Beltrán Palomino - translator",Length: 14 hrs and 18 mins
"Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
The Half-Elf Demigod Part II,"By: Kugane Maruyama, so-bin, Andrew Cunningham - translator",Length: 7 hrs and 20 mins
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Holistically Treating Complex PTSD,By: Pete Walker,Length: 13 hrs and 55 mins
Mockingjay,By: Suzanne Collins,Length: 11 hrs and 19 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
Lethal Prey,By: John Sandford,Length: 11 hrs and 12 mins
A People's History of the United States,By: Howard Zinn,Length: 34 hrs and 8 mins
"Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
Demeter,By: Alan D. Hansen,Length: 6 hrs and 35 mins
"Urban Gardening and Raised Bed Gardening Guidebooks for Beginners Trilogy: For Small Space, Backyard Mini & Container Gardens",By: David Whitehead,Length: 15 hrs and 3 mins
Kiss of Seduction,By: Rawnie Sabor,Length: 19 hrs and 6 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 27 mins
