date,home_team,scores,away_team
31-08-2024,Chelsea,1 - 1,Crystal Palace
13-09-2024,Crystal Palace,2 - 2,Leicester
20-09-2024,Crystal Palace,0 - 0,Man United
27-09-2024,Everton,2 - 1,Crystal Palace
04-10-2024,Crystal Palace,0 - 1,Liverpool
20-10-2024,Nott'm Forest,1 - 0,Crystal Palace
26-10-2024,Crystal Palace,1 - 0,Tottenham
01-11-2024,Wolves,2 - 2,Crystal Palace
08-11-2024,Crystal Palace,0 - 2,Fulham
22-11-2024,Aston Villa,2 - 2,Crystal Palace
29-11-2024,Crystal Palace,1 - 1,Newcastle
02-12-2024,Ipswich,0 - 1,Crystal Palace
06-12-2024,Crystal Palace,2 - 2,Man City
14-12-2024,Brighton,1 - 3,Crystal Palace
20-12-2024,Crystal Palace,1 - 5,Arsenal
25-12-2024,Bournemouth,0 - 0,Crystal Palace
28-12-2024,Crystal Palace,2 - 1,Southampton
03-01-2025,Crystal Palace,1 - 1,Chelsea
14-01-2025,Leicester,0 - 2,Crystal Palace
17-01-2025,West Ham,0 - 2,Crystal Palace
25-01-2025,Crystal Palace,1 - 2,Brentford
01-02-2025,Man United,0 - 2,Crystal Palace
14-02-2025,Crystal Palace,1 - 2,Everton
21-02-2025,Fulham,0 - 2,Crystal Palace
24-02-2025,Crystal Palace,4 - 1,Aston Villa
07-03-2025,Crystal Palace,1 - 0,Ipswich
01-04-2025,Southampton,1 - 1,Crystal Palace
04-04-2025,Crystal Palace,2 - 1,Brighton
11-04-2025,Man City,5 - 2,Crystal Palace
16-08-2024,Everton,0 - 3,Brighton
23-08-2024,Tottenham,4 - 0,Everton
30-08-2024,Everton,2 - 3,Bournemouth
13-09-2024,Aston Villa,3 - 2,Everton
20-09-2024,Leicester,1 - 1,Everton
27-09-2024,Everton,2 - 1,Crystal Palace
04-10-2024,Everton,0 - 0,Newcastle
18-10-2024,Ipswich,0 - 2,Everton
25-10-2024,Everton,1 - 1,Fulham
01-11-2024,Southampton,1 - 0,Everton
08-11-2024,West Ham,0 - 0,Everton
22-11-2024,Everton,0 - 0,Brentford
30-11-2024,Man United,4 - 0,Everton
03-12-2024,Everton,4 - 0,Wolves
13-12-2024,Arsenal,0 - 0,Everton
21-12-2024,Everton,0 - 0,Chelsea
25-12-2024,Man City,1 - 1,Everton
28-12-2024,Everton,0 - 2,Nott'm Forest
03-01-2025,Bournemouth,1 - 0,Everton
14-01-2025,Everton,0 - 1,Aston Villa
18-01-2025,Everton,3 - 2,Tottenham
24-01-2025,Brighton,0 - 1,Everton
31-01-2025,Everton,4 - 0,Leicester
11-02-2025,Everton,2 - 2,Liverpool
14-02-2025,Crystal Palace,1 - 2,Everton
21-02-2025,Everton,2 - 2,Man United
25-02-2025,Brentford,1 - 1,Everton
07-03-2025,Wolves,1 - 1,Everton
14-03-2025,Everton,1 - 1,West Ham
01-04-2025,Liverpool,1 - 0,Everton
04-04-2025,Everton,1 - 1,Arsenal
11-04-2025,Nott'm Forest,0 - 1,Everton
15-08-2024,Man United,1 - 0,Fulham
23-08-2024,Fulham,2 - 1,Leicester
30-08-2024,Ipswich,1 - 1,Fulham
13-09-2024,Fulham,1 - 1,West Ham
20-09-2024,Fulham,3 - 1,Newcastle
27-09-2024,Nott'm Forest,0 - 1,Fulham
04-10-2024,Man City,3 - 2,Fulham
18-10-2024,Fulham,1 - 3,Aston Villa
25-10-2024,Everton,1 - 1,Fulham
03-11-2024,Fulham,2 - 1,Brentford
08-11-2024,Crystal Palace,0 - 2,Fulham
22-11-2024,Fulham,1 - 4,Wolves
30-11-2024,Tottenham,1 - 1,Fulham
04-12-2024,Fulham,3 - 1,Brighton
07-12-2024,Fulham,1 - 1,Arsenal
13-12-2024,Liverpool,2 - 2,Fulham
21-12-2024,Fulham,0 - 0,Southampton
25-12-2024,Chelsea,1 - 2,Fulham
28-12-2024,Fulham,2 - 2,Bournemouth
04-01-2025,Fulham,2 - 2,Ipswich
13-01-2025,West Ham,3 - 2,Fulham
17-01-2025,Leicester,0 - 2,Fulham
25-01-2025,Fulham,0 - 1,Man United
31-01-2025,Newcastle,1 - 2,Fulham
14-02-2025,Fulham,2 - 1,Nott'm Forest
21-02-2025,Fulham,0 - 2,Crystal Palace
24-02-2025,Wolves,1 - 2,Fulham
07-03-2025,Brighton,2 - 1,Fulham
15-03-2025,Fulham,2 - 0,Tottenham
31-03-2025,Arsenal,2 - 1,Fulham
05-04-2025,Fulham,3 - 2,Liverpool
16-08-2024,Ipswich,0 - 2,Liverpool
23-08-2024,Man City,4 - 1,Ipswich
30-08-2024,Ipswich,1 - 1,Fulham
13-09-2024,Brighton,0 - 0,Ipswich
20-09-2024,Southampton,1 - 1,Ipswich
28-09-2024,Ipswich,2 - 2,Aston Villa
04-10-2024,West Ham,4 - 1,Ipswich
18-10-2024,Ipswich,0 - 2,Everton
25-10-2024,Brentford,4 - 3,Ipswich
01-11-2024,Ipswich,1 - 1,Leicester
09-11-2024,Tottenham,1 - 2,Ipswich
23-11-2024,Ipswich,1 - 1,Man United
29-11-2024,Nott'm Forest,1 - 0,Ipswich
02-12-2024,Ipswich,0 - 1,Crystal Palace
07-12-2024,Ipswich,1 - 2,Bournemouth
13-12-2024,Wolves,1 - 2,Ipswich
20-12-2024,Ipswich,0 - 4,Newcastle
26-12-2024,Arsenal,1 - 0,Ipswich
29-12-2024,Ipswich,2 - 0,Chelsea
04-01-2025,Fulham,2 - 2,Ipswich
15-01-2025,Ipswich,0 - 2,Brighton
18-01-2025,Ipswich,0 - 6,Man City
24-01-2025,Liverpool,4 - 1,Ipswich
31-01-2025,Ipswich,1 - 2,Southampton
14-02-2025,Aston Villa,1 - 1,Ipswich
21-02-2025,Ipswich,1 - 4,Tottenham
25-02-2025,Man United,3 - 2,Ipswich
07-03-2025,Crystal Palace,1 - 0,Ipswich
14-03-2025,Ipswich,2 - 4,Nott'm Forest
01-04-2025,Bournemouth,1 - 2,Ipswich
04-04-2025,Ipswich,1 - 2,Wolves
18-08-2024,Leicester,1 - 1,Tottenham
23-08-2024,Fulham,2 - 1,Leicester
30-08-2024,Leicester,1 - 2,Aston Villa
13-09-2024,Crystal Palace,2 - 2,Leicester
20-09-2024,Leicester,1 - 1,Everton
27-09-2024,Arsenal,4 - 2,Leicester
04-10-2024,Leicester,1 - 0,Bournemouth
18-10-2024,Southampton,2 - 3,Leicester
24-10-2024,Leicester,1 - 3,Nott'm Forest
01-11-2024,Ipswich,1 - 1,Leicester
09-11-2024,Man United,3 - 0,Leicester
22-11-2024,Leicester,1 - 2,Chelsea
29-11-2024,Brentford,4 - 1,Leicester
02-12-2024,Leicester,3 - 1,West Ham
07-12-2024,Leicester,2 - 2,Brighton
13-12-2024,Newcastle,4 - 0,Leicester
21-12-2024,Leicester,0 - 3,Wolves
25-12-2024,Liverpool,3 - 1,Leicester
28-12-2024,Leicester,0 - 2,Man City
03-01-2025,Aston Villa,2 - 1,Leicester
14-01-2025,Leicester,0 - 2,Crystal Palace
17-01-2025,Leicester,0 - 2,Fulham
25-01-2025,Tottenham,1 - 2,Leicester
31-01-2025,Everton,4 - 0,Leicester
14-02-2025,Leicester,0 - 2,Arsenal
20-02-2025,Leicester,0 - 4,Brentford
26-02-2025,West Ham,2 - 0,Leicester
08-03-2025,Chelsea,1 - 0,Leicester
15-03-2025,Leicester,0 - 3,Man United
01-04-2025,Man City,2 - 0,Leicester
06-04-2025,Leicester,0 - 3,Newcastle
11-04-2025,Brighton,2 - 2,Leicester
16-08-2024,Ipswich,0 - 2,Liverpool
24-08-2024,Liverpool,2 - 0,Brentford
31-08-2024,Man United,0 - 3,Liverpool
13-09-2024,Liverpool,0 - 1,Nott'm Forest
20-09-2024,Liverpool,3 - 0,Bournemouth
27-09-2024,Wolves,1 - 2,Liverpool
04-10-2024,Crystal Palace,0 - 1,Liverpool
19-10-2024,Liverpool,2 - 1,Chelsea
26-10-2024,Arsenal,2 - 2,Liverpool
01-11-2024,Liverpool,2 - 1,Brighton
08-11-2024,Liverpool,2 - 0,Aston Villa
23-11-2024,Southampton,2 - 3,Liverpool
30-11-2024,Liverpool,2 - 0,Man City
03-12-2024,Newcastle,3 - 3,Liverpool
13-12-2024,Liverpool,2 - 2,Fulham
21-12-2024,Tottenham,3 - 6,Liverpool
25-12-2024,Liverpool,3 - 1,Leicester
28-12-2024,West Ham,0 - 5,Liverpool
04-01-2025,Liverpool,2 - 2,Man United
13-01-2025,Nott'm Forest,1 - 1,Liverpool
17-01-2025,Brentford,0 - 2,Liverpool
24-01-2025,Liverpool,4 - 1,Ipswich
31-01-2025,Bournemouth,0 - 2,Liverpool
11-02-2025,Everton,2 - 2,Liverpool
15-02-2025,Liverpool,2 - 1,Wolves
18-02-2025,Aston Villa,2 - 2,Liverpool
22-02-2025,Man City,0 - 2,Liverpool
25-02-2025,Liverpool,2 - 0,Newcastle
07-03-2025,Liverpool,3 - 1,Southampton
01-04-2025,Liverpool,1 - 0,Everton
05-04-2025,Fulham,3 - 2,Liverpool
17-08-2024,Chelsea,0 - 2,Man City
23-08-2024,Man City,4 - 1,Ipswich
30-08-2024,West Ham,1 - 3,Man City
13-09-2024,Man City,2 - 1,Brentford
21-09-2024,Man City,2 - 2,Arsenal
27-09-2024,Newcastle,1 - 1,Man City
04-10-2024,Man City,3 - 2,Fulham
19-10-2024,Wolves,1 - 2,Man City
25-10-2024,Man City,1 - 0,Southampton
01-11-2024,Bournemouth,2 - 1,Man City
08-11-2024,Brighton,2 - 1,Man City
22-11-2024,Man City,0 - 4,Tottenham
30-11-2024,Liverpool,2 - 0,Man City
03-12-2024,Man City,3 - 0,Nott'm Forest
06-12-2024,Crystal Palace,2 - 2,Man City
14-12-2024,Man City,1 - 2,Man United
20-12-2024,Aston Villa,2 - 1,Man City
25-12-2024,Man City,1 - 1,Everton
28-12-2024,Leicester,0 - 2,Man City
03-01-2025,Man City,4 - 1,West Ham
